Row ID,Order ID,Seperated  Order Year ,Seperated Order ID,Order Date,Ship Date,Date Difference (Ship Date - Order Date),Ship Mode,Customer ID,Derived Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Revenue
1,CA-2016-152156,2016,152156,08-11-16,11-11-16,3,Second Class,CG-12520,12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96 ,2,0%,$41.91 ,$440.09 
2,CA-2016-152156,2016,152156,08-11-16,11-11-16,3,Second Class,CG-12520,12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94 ,3,0%,$219.58 ,"$1,537.07 "
3,CA-2016-138688,2016,138688,12-06-16,16-06-16,4,Second Class,DV-13045,13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62 ,2,0%,$6.87 ,$15.50 
4,US-2015-108966,2015,108966,11-10-15,18-10-15,7,Standard Class,SO-20335,20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58 ,5,45%,($383.03),"$6,703.04 "
5,US-2015-108966,2015,108966,11-10-15,18-10-15,7,Standard Class,SO-20335,20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37 ,2,20%,$2.52 ,$39.70 
6,CA-2014-115812,2014,115812,09-06-14,14-06-14,5,Standard Class,BH-11710,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86 ,7,0%,$14.17 ,$242.83 
7,CA-2014-115812,2014,115812,09-06-14,14-06-14,5,Standard Class,BH-11710,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,$7.28 ,4,0%,$1.97 ,$21.26 
8,CA-2014-115812,2014,115812,09-06-14,14-06-14,5,Standard Class,BH-11710,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15 ,6,20%,$90.72 ,"$4,898.62 "
9,CA-2014-115812,2014,115812,09-06-14,14-06-14,5,Standard Class,BH-11710,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50 ,3,20%,$5.78 ,$38.16 
10,CA-2014-115812,2014,115812,09-06-14,14-06-14,5,Standard Class,BH-11710,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90 ,5,0%,$34.47 ,$402.15 
11,CA-2014-115812,2014,115812,09-06-14,14-06-14,5,Standard Class,BH-11710,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18 ",9,20%,$85.31 ,"$14,587.87 "
12,CA-2014-115812,2014,115812,09-06-14,14-06-14,5,Standard Class,BH-11710,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911.42 ,4,20%,$68.36 ,"$3,372.27 "
13,CA-2017-114412,2017,114412,15-04-17,20-04-17,5,Standard Class,AA-10480,10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,$15.55 ,3,20%,$5.44 ,$30.33 
14,CA-2016-161389,2016,161389,05-12-16,10-12-16,5,Standard Class,IM-15070,15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98 ,3,20%,$132.59 ,$826.15 
15,US-2015-118983,2015,118983,22-11-15,26-11-15,4,Standard Class,HP-14815,14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81 ,5,80%,($123.86),$963.34 
16,US-2015-118983,2015,118983,22-11-15,26-11-15,4,Standard Class,HP-14815,14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54 ,3,80%,($3.82),$19.08 
17,CA-2014-105893,2014,105893,11-11-14,18-11-14,7,Standard Class,PK-19075,19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88 ,6,0%,$13.32 ,"$3,915.37 "
18,CA-2014-167164,2014,167164,13-05-14,15-05-14,2,Second Class,AG-10270,10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50 ,2,0%,$9.99 ,$91.02 
19,CA-2014-143336,2014,143336,27-08-14,01-09-14,5,Second Class,ZD-21925,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,$8.56 ,2,0%,$2.48 ,$12.16 
20,CA-2014-143336,2014,143336,27-08-14,01-09-14,5,Second Class,ZD-21925,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,$213.48 ,3,20%,$16.01 ,$592.41 
21,CA-2014-143336,2014,143336,27-08-14,01-09-14,5,Second Class,ZD-21925,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72 ,4,20%,$7.38 ,$61.34 
22,CA-2016-137330,2016,137330,09-12-16,13-12-16,4,Standard Class,KB-16585,16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,$19.46 ,7,0%,$5.06 ,$100.80 
